"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"Rashmi Hostel girls n boys","4.0","2","Hostel","6MM3+JVP, Street Number 4","Open 24 hours","","{""latitude"":""21.234087"",""longitude"":""81.654691""}","https://www.google.com/maps/place/Rashmi+Hostel+girls+n+boys/data=!4m7!3m6!1s0x3a28ddfe8e70ea67:0xeed2f5ee8ab3d28b!8m2!3d21.234087!4d81.654691!16s%2Fg%2F11h4c9b9sx!19sChIJZ-pwjv7dKDoRi9Kziu710u4?authuser=0&hl=en&rclk=1","0x3a28ddfe8e70ea67:0xeed2f5ee8ab3d28b",
"Khushi Girls Hostel",,,"Hostel","Rd 82, Kalibadi Chowk","096699 00017","","{""latitude"":""21.2326004"",""longitude"":""81.6398894""}","https://www.google.com/maps/place/Khushi+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd4cb24e6bf9:0x15672247818792f0!8m2!3d21.2326004!4d81.6398894!16s%2Fg%2F11sfrt9zgb!19sChIJ-WtOskzdKDoR8JKHgUciZxU?authuser=0&hl=en&rclk=1","0x3a28dd4cb24e6bf9:0x15672247818792f0",
"Mishra Girls Hostel Raipur Chhattishgarh","4.8","6","Girl's Hostel","2, 17, near Chhattisgarh college",,"","{""latitude"":""21.2373635"",""longitude"":""81.6535747""}","https://www.google.com/maps/place/Mishra+Girls+Hostel+Raipur+Chhattishgarh/data=!4m7!3m6!1s0x3a28dd7d9a6021af:0xe11d7edd673c8bd0!8m2!3d21.2373635!4d81.6535747!16s%2Fg%2F11lkn_10xk!19sChIJryFgmn3dKDoR0Is8Z91-HeE?authuser=0&hl=en&rclk=1","0x3a28dd7d9a6021af:0xe11d7edd673c8bd0",
"I.L.Dewangan Girls Hostel","2.7","7","Girl's Hostel","behind Excel tower","Open ⋅ Closes 9 pm  098271 70920","","{""latitude"":""21.2206674"",""longitude"":""81.6463682""}","https://www.google.com/maps/place/I.L.Dewangan+Girls+Hostel/data=!4m7!3m6!1s0x3a28dd775a7aa1db:0x7b915c67b9a123bb!8m2!3d21.2206674!4d81.6463682!16s%2Fg%2F11g1gt8xrn!19sChIJ26F6WnfdKDoRuyOhuWdckXs?authuser=0&hl=en&rclk=1","0x3a28dd775a7aa1db:0x7b915c67b9a123bb","https://ildewangangirlshostel.business.site/?utm_source=gmb&utm_medium=referral"
"JAIN PG FOR GIRLS","5.0","3","Youth Hostel","Surya Vihar",,"","{""latitude"":""21.221618"",""longitude"":""81.6479859""}","https://www.google.com/maps/place/JAIN+PG+FOR+GIRLS/data=!4m7!3m6!1s0x3a28dd509c7f8c95:0xb5f690a3de614ca6!8m2!3d21.221618!4d81.6479859!16s%2Fg%2F11ssrbzqnp!19sChIJlYx_nFDdKDoRpkxh3qOQ9rU?authuser=0&hl=en&rclk=1","0x3a28dd509c7f8c95:0xb5f690a3de614ca6",
"Premium Girls Hostel","3.6","15","Girl's Hostel","N 2 Main Road, Indian Bank Building","Open ⋅ Closes 7 pm","","{""latitude"":""21.24107"",""longitude"":""81.6696636""}","https://www.google.com/maps/place/Premium+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddf0069a5017:0xe8c995986c0e25d1!8m2!3d21.24107!4d81.6696636!16s%2Fg%2F11gjws2dds!19sChIJF1CaBvDdKDoR0SUObJiVyeg?authuser=0&hl=en&rclk=1","0x3a28ddf0069a5017:0xe8c995986c0e25d1","https://premium-girls-hostel.business.site/"
"Ani girls pg and hostel","5.0","2","Girl's Hostel","05, Aadinath Vatika, behind Medicine Hospital","093990 86964","","{""latitude"":""21.2208693"",""longitude"":""81.6661437""}","https://www.google.com/maps/place/Ani+girls+pg+and+hostel/data=!4m7!3m6!1s0x3a28dd5d722a761b:0xba635e38bcac2946!8m2!3d21.2208693!4d81.6661437!16s%2Fg%2F11s7yrqc18!19sChIJG3Yqcl3dKDoRRimsvDheY7o?authuser=0&hl=en&rclk=1","0x3a28dd5d722a761b:0xba635e38bcac2946",
"PRINCE PG/HOSTEL FOR GIRLS",,,"Girl's Hostel","Girl's Hostel","Closed ⋅ Opens 6 am Sat","","{""latitude"":""21.2153564"",""longitude"":""81.646509""}","https://www.google.com/maps/place/PRINCE+PG%2FHOSTEL+FOR+GIRLS/data=!4m7!3m6!1s0x3a28dd301f3de20d:0xf6704a8e39a96204!8m2!3d21.2153564!4d81.646509!16s%2Fg%2F11sdxncq5b!19sChIJDeI9HzDdKDoRBGKpOY5KcPY?authuser=0&hl=en&rclk=1","0x3a28dd301f3de20d:0xf6704a8e39a96204",
"Isha Girls Hostel","3.9","59","Girl's Hostel","C/O ISHA Cooking Classes, Behind Mahila Police Station, Near Ashirwad Bhawan","Open ⋅ Closes 8 pm  094062 36309","""Students learn many things in a hostel.""","{""latitude"":""21.2363559"",""longitude"":""81.6417209""}","https://www.google.com/maps/place/Isha+Girls+Hostel/data=!4m7!3m6!1s0x3a28dda420fcc407:0x7bc1b7a75bc82fce!8m2!3d21.2363559!4d81.6417209!16s%2Fg%2F11ckpy98wp!19sChIJB8T8IKTdKDoRzi_IW6e3wXs?authuser=0&hl=en&rclk=1","0x3a28dda420fcc407:0x7bc1b7a75bc82fce",
"Parul Girls Hostel",,,"Hostel","Hostel","Open 24 hours  093294 30644","","{""latitude"":""21.217042"",""longitude"":""81.6471448""}","https://www.google.com/maps/place/Parul+Girls+Hostel/data=!4m7!3m6!1s0x3a28dc5587a48687:0x7656f71435b88f3e!8m2!3d21.217042!4d81.6471448!16s%2Fg%2F11sbr0s56j!19sChIJh4akh1XcKDoRPo-4NRT3VnY?authuser=0&hl=en&rclk=1","0x3a28dc5587a48687:0x7656f71435b88f3e",
"Hardiha Chhatrawash Patel Hostel","4.1","49","Hostel","6JHM+6QR, Bhagat Singh Chowk, Kailashpuri Rd",,"""Good place for hostelers""","{""latitude"":""21.2281188"",""longitude"":""81.634379""}","https://www.google.com/maps/place/Hardiha+Chhatrawash+Patel+Hostel/data=!4m7!3m6!1s0x3a28ddb1baa9b351:0x1f03215850936709!8m2!3d21.2281188!4d81.634379!16s%2Fg%2F11c605q8m2!19sChIJUbOpurHdKDoRCWeTUFghAx8?authuser=0&hl=en&rclk=1","0x3a28ddb1baa9b351:0x1f03215850936709",
"Chandani Girls Hostel","4.5","6","Girl's Hostel","6JFR+RJM",,"""Good choice
Nice looking girl hostel""","{""latitude"":""21.2245822"",""longitude"":""81.6415507""}","https://www.google.com/maps/place/Chandani+Girls+Hostel/data=!4m7!3m6!1s0x3a28ddab25555555:0xb501d60a5d96cc42!8m2!3d21.2245822!4d81.6415507!16s%2Fg%2F11f0_fsh36!19sChIJVVVVJavdKDoRQsyWXQrWAbU?authuser=0&hl=en&rclk=1","0x3a28ddab25555555:0xb501d60a5d96cc42",
